"","geoid10","area","numeric"
"413","17031440700","327461.10477357",327461.10477357
"414","17031430800","328072.08946042",328072.08946042
"415","17031671800","324236.440857551",324236.440857551
"416","17031680500","326859.441228862",326859.441228862
"417","17031681100","652441.12175256",652441.12175256
"418","17031200100","586780.266743917",586780.266743917
"419","17031410200","65109.6987962839",65109.6987962839
"420","17031680600","326464.737041676",326464.737041676
"421","17031170600","566524.951392621",566524.951392621
"422","17031380500","191450.197196632",191450.197196632
"423","17031381700","196801.225335757",196801.225335757
"424","17031430300","408970.581234788",408970.581234788
"425","17031430700","367775.389150076",367775.389150076
"426","17031430900","336514.110449295",336514.110449295
"427","17031431200","655296.479922786",655296.479922786
"428","17031431400","2204824.27655998",2204824.27655998
"429","17031230800","205651.451951658",205651.451951658
"430","17031231100","176381.851674909",176381.851674909
"431","17031170900","320577.081320347",320577.081320347
"432","17031210100","854097.597732468",854097.597732468
"433","17031420200","278187.94035645",278187.94035645
"434","17031420300","245119.402799545",245119.402799545
"435","17031440600","669815.344475669",669815.344475669
"436","17031440800","279073.656421715",279073.656421715
"437","17031440900","742630.124510082",742630.124510082
"438","17031560400","334561.026761784",334561.026761784
"439","17031450300","1366765.40807477",1366765.40807477
"440","17031671900","322061.342442413",322061.342442413
"441","17031672000","995026.956053143",995026.956053143
"442","17031680900","1033027.62675312",1033027.62675312
"443","17031681000","651694.610472848",651694.610472848
"444","17031240200","166088.083968062",166088.083968062
"445","17031240300","166590.125472889",166590.125472889
"446","17031200200","818683.894542544",818683.894542544
"447","17031410500","262842.510806803",262842.510806803
"448","17031410600","252560.003289051",252560.003289051
"449","17031170100","1014633.41318485",1014633.41318485
"450","17031170200","653043.017869641",653043.017869641
"451","17031170300","1398901.02750048",1398901.02750048
"452","17031381800","319366.365616845",319366.365616845
"453","17031170500","1539543.1699753",1539543.1699753
"454","17031351400","323710.56192684",323710.56192684
"455","17031381200","258551.178076752",258551.178076752
"456","17031381400","316691.635542605",316691.635542605
"457","17031390100","842814.018590803",842814.018590803
"458","17031430400","545171.214750319",545171.214750319
"459","17031430500","337332.539258451",337332.539258451
"460","17031430600","328335.497226767",328335.497226767
"461","17031230700","650134.812521568",650134.812521568
"462","17031230900","455180.037041067",455180.037041067
"463","17031231200","656680.804073455",656680.804073455
"464","17031170700","579672.416994343",579672.416994343
"465","17031170800","730333.265827398",730333.265827398
"466","17031171100","666147.60700065",666147.60700065
"467","17031190100","316149.56871527",316149.56871527
"468","17031242200","326987.632110788",326987.632110788
"469","17031200300","250668.503641338",250668.503641338
"470","17031210400","419634.661830087",419634.661830087
"471","17031220300","326092.353104984",326092.353104984
"472","17031210700","497303.818485356",497303.818485356
"473","17031210800","162931.217710784",162931.217710784
"474","17031210900","570569.491269545",570569.491269545
"475","17031420100","1379811.90376321",1379811.90376321
"476","17031420400","245126.782564266",245126.782564266
"477","17031420500","245979.15772344",245979.15772344
"478","17031691300","647445.841578639",647445.841578639
"479","17031031700","477476.472386565",477476.472386565
"480","17031470100","1589069.57504772",1589069.57504772
"481","17031480100","668183.388915931",668183.388915931
"482","17031691000","648683.480150655",648683.480150655
"483","17031242300","328316.836211596",328316.836211596
"484","17031411100","282973.84632039",282973.84632039
"485","17031460400","652528.351543239",652528.351543239
"486","17031681200","794728.730429037",794728.730429037
"487","17031690500","320685.372845921",320685.372845921
"488","17031241400","517653.882187708",517653.882187708
"489","17031241500","302869.528049268",302869.528049268
"490","17031241600","293931.503101808",293931.503101808
"491","17031242000","326758.46720061",326758.46720061
"492","17031243300","327091.595245906",327091.595245906
"493","17031491200","649494.647475173",649494.647475173
"494","17031480300","415733.56046069",415733.56046069
"495","17031710800","816277.605450392",816277.605450392
"496","17031711300","350016.799663177",350016.799663177
"497","17031010202","351719.798707857",351719.798707857
"498","17031480200","286026.160404654",286026.160404654
"499","17031480400","1809902.3532381",1809902.3532381
"500","17031480500","1355403.15402037",1355403.15402037
"501","17031241200","328122.45222862",328122.45222862
"502","17031691100","675737.34359628",675737.34359628
"503","17031691200","1013722.15667536",1013722.15667536
"504","17031691400","656678.802317853",656678.802317853
"505","17031051200","164666.450357233",164666.450357233
"506","17031691500","671196.468525564",671196.468525564
"507","17031700100","2311838.12160803",2311838.12160803
"508","17031410700","260189.434413016",260189.434413016
"509","17031410800","249756.637453122",249756.637453122
"510","17031410900","965436.880392577",965436.880392577
"511","17031411000","1896925.02523342",1896925.02523342
"512","17031411200","402445.290256063",402445.290256063
"513","17031530600","1034198.88143074",1034198.88143074
"514","17031460100","5484654.49531306",5484654.49531306
"515","17031460200","600207.713565087",600207.713565087
"516","17031460500","1277221.8645857",1277221.8645857
"517","17031460600","260610.593764258",260610.593764258
"518","17031460700","422528.797457983",422528.797457983
"519","17031241300","164084.220529305",164084.220529305
"520","17031461000","616836.895298232",616836.895298232
"521","17031681300","721327.056550377",721327.056550377
"522","17031681400","643435.632794537",643435.632794537
"523","17031060100","325545.814497494",325545.814497494
"524","17031690300","512068.282207756",512068.282207756
"525","17031690400","651657.549412107",651657.549412107
"526","17031690900","655459.184942633",655459.184942633
"527","17031060200","318277.833166406",318277.833166406
"528","17031242100","327980.259140625",327980.259140625
"529","17031243100","324004.824992548",324004.824992548
"530","17031243200","323849.050196764",323849.050196764
"531","17031611600","315135.738692294",315135.738692294
"532","17031243400","329180.593818393",329180.593818393
"533","17031243500","657214.79057947",657214.79057947
"534","17031711100","653931.115604122",653931.115604122
"535","17031250200","499202.794768693",499202.794768693
"536","17031491000","1277070.45878424",1277070.45878424
"537","17031491100","1322862.51489841",1322862.51489841
"538","17031710100","215114.226830715",215114.226830715
"539","17031510100","2373066.36781696",2373066.36781696
"540","17031510200","1279952.28613902",1279952.28613902
"541","17031710300","327581.078334233",327581.078334233
"542","17031520200","1210350.23253291",1210350.23253291
"543","17031710900","990852.116765739",990852.116765739
"544","17031711000","654359.387910455",654359.387910455
